Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Australia;155.1589088;178.4313312;182.0429265;196.7480994;212.023379;229.1574737;240.0138407;261.0869308;283.1871117;299.8772585;304.3950033;314.1676504;334.8390645;355.9498574;381.6474528;404.1029922;424.472904;450.9627009;478.6916528;510.9479934;539.1455221;569.8079961;600.9084151;639.1293614;678.0935197;719.9775514;776.4131029;826.9279839;852.8593544;904.2091578;943.4882162;993.2499161;998.2662524;1105.43118;1118.585036;1125.701148;1213.233545;1248.366725;1326.195638;1360.009549;1459.583296;1646.960789
Austria;79.42199651;86.81157568;94.02890165;100.6168706;104.3002832;110.2872696;115.0976056;119.5444459;127.8403059;138.0161495;149.4047502;159.7731061;166.8353105;171.6896084;179.5681691;188.2248427;195.4099618;202.5637197;212.7795977;220.639939;235.3776993;238.9491415;251.9847843;261.0715067;276.0063218;288.0867221;311.4129861;327.1705948;343.8129764;341.3829817;351.2809977;373.031477;391.6351762;406.3702445;417.0595187;430.9759237;460.2826473;476.5905878;503.361417;537.8977983;522.6245944;567.9872839
Bangladesh;35.654197;38.233403;39.04943;40.564957;42.513416;43.93422;45.767766;47.494308;48.641892;50.02166;52.83401;54.675395;57.651204;60.367475;62.715847;65.927696;68.909556;72.00353;75.731165;79.26793;83.463815;87.70151;91.06322;95.37922;100.37665;106.93721;114.07196;122.12384;129.46811;135.99994;143.57756;152.85897;162.8276;172.61942;183.08198;195.07868;208.95556;222.72626;239.0285;257.86853;266.7599;285.2695
Belgium;101.2830106;110.5569238;118.0858657;123.0937014;130.6800488;137.0395642;142.3476166;149.2322693;161.793505;173.9693054;186.1439818;195.9664752;203.5003056;206.3201405;217.5260175;227.383563;230.928943;241.5794489;248.6345061;260.1687813;284.8627325;296.2181325;312.9004753;320.9812676;334.1432836;347.658439;371.9101923;391.0209922;405.72943;407.5504841;434.0059769;451.9326253;469.7203355;487.3437965;503.6196227;520.8778067;550.6775655;573.788528;600.2699259;650.5235902;643.0572505;719.7714975
Bolivia;11.833372;11.865987;11.398616;10.93787;10.915922;10.732929;10.456675;10.714274;11.026006;11.443906;11.97442;12.605057;12.812599;13.359607;13.983135;14.637305;15.275688;16.032477;16.838808;16.910689;17.334778;17.62666;18.064783;18.55458;19.328918;20.183534;21.15174;22.117186;23.47706;24.265185;25.266543;26.581436;27.94301;29.84202;31.471565;33.000198;34.4073;35.850756;37.364957;38.19323;34.85595;36.984185
Botswana;1.8777317;2.0479455;2.2970888;2.599081;2.8211825;3.0221993;3.2692014;3.6576456;4.3690563;4.939629;5.2741816;5.6675676;5.8328945;5.944659;6.160326;6.5934223;6.9778053;7.55877;7.5923057;8.326272;8.491773;8.513051;9.029754;9.44746;9.703091;10.145227;10.993761;11.630581;12.008816;10.310261;11.353887;12.130326;12.109595;13.454102;14.220577;13.530738;14.505198;15.101805;15.734544;16.211711;14.79701;16.479434
Brazil;784.5589;751.2152;757.4503;735.257;774.96084;835.7953;898.3963;930.1097;929.5517;958.9255;917.21223;926.67956;921.6378;967.02556;1023.62435;1066.86015;1090.4256;1127.4439;1131.2557;1136.5493;1186.4205;1202.9105;1239.641;1253.7831;1326.0006;1368.4609;1422.6792;1509.0339;1585.9071;1583.9118;1703.1523;1770.8428;1804.8638;1859.0967;1868.4657;1802.2143;1743.1753;1766.2353;1797.739;1819.6854;1749.1056;1829.9043
Cameroon;11.114266;13.012879;13.990954;14.951689;16.069264;17.364955;18.540851;18.142845;16.723415;16.419196;15.41669;14.829529;14.369814;13.22999;13.478291;13.868354;14.452915;15.107244;15.821142;16.534881;17.168567;17.91098;18.71286;19.733301;21.124274;21.59498;22.41766;23.387804;24.053813;24.674222;25.389533;26.2475;27.461704;28.83356;30.482788;32.210233;33.671223;34.86358;36.242612;37.502067;37.599547;38.9719
Canada;286.8686786;324.8138021;333.8893882;355.9929128;390.6286045;422.0728982;439.808702;469.0405223;507.000423;539.0842222;560.1848771;567.0478643;585.1916203;615.0028474;656.3671125;688.1836282;712.1309585;755.4160332;793.6820503;846.4213435;901.00329;937.7930445;971.0090882;1023.686549;1083.61523;1171.340162;1241.618911;1301.593852;1342.396613;1307.000658;1363.578975;1430.807125;1468.094965;1554.122745;1621.396709;1594.850842;1678.093396;1765.763154;1852.987755;1899.694991;1847.838765;2133.084722
Central African Republic;1.3474292;1.3266188;1.4289778;1.3128517;1.4373326;1.4937798;1.547227;1.4708096;1.4959629;1.5255421;1.4927807;1.4845325;1.3891649;1.3938225;1.462119;1.5673923;1.5046952;1.584443;1.6589142;1.7186346;1.6758504;1.7506728;1.8139866;1.7160769;1.8189537;1.8354737;1.9230456;2.0116507;2.0529725;2.2292667;2.3325;2.4303393;2.553163;1.6240165;1.625333;1.6958257;1.7763828;1.8568046;1.9271671;1.9869093;2.0047916;2.0228347
Chad;1.5040338;1.5197197;1.600973;1.8519852;1.8899305;2.3017987;2.207847;2.1551058;2.488767;2.6103365;2.5012644;2.7147507;2.93197;2.4713623;2.7218816;2.755539;2.8165596;2.9757906;3.1826552;3.1609224;3.1331164;3.4983793;3.795434;4.354185;5.8184704;6.826959;6.871215;7.096007;7.312626;7.6210504;8.65371;8.660881;9.430191;9.967712;10.655483;10.950392;10.265387;9.958586;10.195006;10.526057;10.357639;10.233349
China;306.1653149;289.5765818;283.928673;304.7489042;313.7285477;309.835803;300.5142045;327.0894031;407.8446704;456.2891221;394.5657473;413.3754454;493.1369619;619.1119465;564.3218545;734.4848346;863.7493147;961.601981;1029.060748;1094.010483;1211.331652;1339.400897;1470.557655;1660.280544;1955.346769;2285.96115;2752.118657;3550.327803;4594.336786;5101.691124;6087.191747;7551.545704;8532.185382;9570.471112;10475.62494;11061.57262;11233.31373;12310.49133;13894.90786;14279.96851;14687.74416;17820.45951
Colombia;61.0950463;68.52828509;73.58239471;77.77281695;83.00801544;88.22089245;95.18978526;103.0098687;111.4587593;119.9411392;165.5181904;175.8884066;187.6747932;203.125828;219.0975738;235.6044052;243.728279;255.8513352;260.2944691;250.2603124;262.5056132;272.9234865;284.1171145;301.0776822;325.6469831;351.6659532;386.8666348;424.094282;446.4201844;454.4017155;480.5320354;524.5965461;548.2513612;585.8883163;618.7927319;624.1194652;665.3983905;693.117075;747.1036745;807.5905959;785.7375643;906.0337171
Cote d'Ivoire;21.184094;21.925644;21.969674;21.112805;20.542493;21.467156;22.166845;22.089488;22.340532;22.999132;22.747083;22.756393;22.700739;22.657044;22.84084;24.468419;26.359663;28.903066;30.135464;30.487103;30.406072;29.751122;28.93876;27.571153;28.449305;28.732678;29.541669;29.867049;31.29549;32.423168;34.64352;32.78301;35.28121;39.077544;42.739892;45.814637;49.103766;52.717625;56.35002;59.86159;61.046145;65.342546
Cuba;35.363533;42.326024;46.10076;48.59549;52.448973;53.286412;53.337194;52.055945;53.9849;54.35204;52.749435;47.1091;41.65358;35.456287;35.71048;36.587962;39.456;40.554226;40.618766;43.132563;45.683753;47.13879;47.810437;49.62376;52.48732;58.36677;65.409225;70.159335;73.04767;74.10781;75.87925;78.00562;80.35741;82.56531;83.430244;87.133;87.580656;89.16504;91.1699;91.01961;81.054474;82.07097
Democratic Republic of Congo;26.933852;27.566938;27.440771;27.828152;29.37013;29.507539;30.899472;31.726232;31.875465;31.471907;29.404733;26.928546;24.101046;20.854864;20.041525;20.181815;19.975322;18.853298;18.547091;17.755103;16.528061;16.180944;16.65792;17.587069;18.772152;19.923851;20.983996;22.297485;23.685702;24.361945;26.093584;27.887434;29.863789;32.39682;35.464892;37.917704;38.827504;40.274584;42.619015;44.48766;45.259706;48.06588
Denmark;50.61388987;55.03399555;60.58719172;64.59475613;69.71333799;74.79740361;80.04582183;82.233765;85.12291645;89.03076427;93.72606648;98.2460282;102.4514666;104.891122;112.8437135;118.6980134;124.9089029;131.7220423;136.9224556;141.8462994;153.0428134;157.7947929;164.720391;166.1487636;178.0229926;185.0744657;202.9959769;213.078339;226.7674941;222.7476585;238.5260483;247.3522373;250.5245986;262.3681203;270.3306072;278.7483648;297.7190601;319.1301654;333.0353552;353.443959;364.6333341;409.262277
Ecuador;33.793085;35.689845;35.909284;35.788317;36.727857;38.1731;39.495713;39.39338;41.71383;42.13338;43.683852;45.558477;46.521725;47.4397;49.459802;50.57391;51.44972;53.676397;55.42975;52.80272;53.37922;55.522734;57.797374;59.371127;64.246104;67.645563;70.624354;72.17107;76.75908;77.19391;79.91523;86.20307;91.06662;95.57124;99.19231;99.29038;98.0727;100.39544;101.68983;101.70214;93.781975;97.75388
