Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Australia;22972;23368;22972;22697;24009;24927;25116;25971;26702;27407;27373;26861.275;27560.178;28622.477;29844.172;30690.062;31740.47;32857.992;34337.14;35551.02;36603.047;37275.992;38567.066;39523.656;40887.727;41904.445;42650.984;44033.582;44421.64;44686.543;45400.223;46132;47045.13;47260.953;47753.848;48145.53;48675.137;49001.902;49614.387;49814.67;48268.945;50704.934
Austria;21932;21866;22254;22944;23016;23514;24039;24409;25112;26078;26930;27689.771;28072.44;28101.229;28780.76;29621.682;30413.156;31173.049;32376.33;33608.297;34796.258;35272.223;35823.586;36063.12;36957.113;37642.76;38866.848;40305.273;40964.793;39463.656;40288.348;41446;41540.94;41301.94;41250.508;41255.715;41545.5;42216.918;43032.215;43488.668;40503.04;42184.695
Bangladesh;875;878;869;891;918;925;944;960;964;966;1006;1031.4299;1062.4604;1095.6564;1136.4185;1182.9514;1234.0841;1291.5126;1348.1499;1412.9813;1485.3092;1551.1965;1621.267;1710.7313;1812.6246;1925.6062;2057.6985;2194.4224;2321.0505;2448.887;2599.2083;2772;2914.0488;3057.4697;3216.8923;3402.3213;3598.5103;3808.8728;4056.6465;4242.7515;4418.9644;4684.003
Belgium;23060;22760;23071;23071;23644;23873;24221;24772;25905;26690;27412;27848.305;28199.574;27857.25;28706.5;29370.088;29820.299;30894.283;31480.744;32571.674;33719.77;33923.344;34419.695;34588.477;35740.35;36338.383;37051.902;38082.875;38117.348;36998.65;37739.33;38130;38173.234;38169.832;38599.426;39160.324;39456.863;39940.824;40471.914;41155.527;38763.44;40970.805
Bolivia;4100;4060;3816;3585;3561;3476;3306;3330;3386;3408;3502;3610.0518;3592.1367;3670.2744;3765.1694;3865.438;3959.4453;4079.5378;4205.6943;4146.4707;4173.5493;4166.4917;4193.755;4230.3726;4330.5557;4445.3477;4581.9023;4713.448;4924.032;5011.3384;5141.759;5331;5503.908;5775.7515;5988.2773;6176.267;6337.799;6503.387;6679.4385;6730.809;6062.065;6355.615
Botswana;2348;2528;2640;2848;3124;3301;3432;3601;3920;5066;5267;5616.011;5733.63;5787.1143;5946.4272;6318.4766;6647.7676;7152.1475;7185.2725;7876.1387;8044.142;8082.8237;8604.067;9042.52;9329.509;9798.087;10665.68;11602.068;12385.149;11494.757;12544.728;13376;13134.406;14355.76;14929.678;13980.036;14752.188;15121.662;15515.622;15747.324;14162.686;15612.078
Brazil;8249;7709;7587;7203;7438;7862;8281;8402;8230;8333;7842;7888.0483;7812.7944;8166.2354;8615.688;8951.694;9124.516;9409.946;9419.107;9441.759;9834.425;9953.31;10245.069;10354.596;10949.66;11305.771;11766.605;12500.007;13164.012;13180.891;14215.612;14831;14985.498;15305.414;15251.89;14583.982;13990.646;14062.75;14197.55;14257.871;13685.926;14292.936
Cameroon;1900;2153;2257;2345;2450;2585;2683;2471;2287;2021;1930;1833.3545;1754.2467;1677.14;1615.5973;1648.6416;1710.106;1780.4967;1847.2189;1902.266;1961.0879;2028.5474;2084.9207;2143.98;2198.236;2222.911;2269.518;2315.607;2352.7996;2370.1306;2420.1328;2494;2536.5469;2590.71;2657.403;2718.3054;2758.029;2779.5483;2815.3162;2832.0767;2769.2869;2791.79
Canada;25784;26256;25151;25625;26836;28025;28472;29246;30275;30458;30082;29151.697;29141.191;29657.574;30745.822;31330.72;31594.242;32709.691;33785.746;35345.723;36942.562;37307.207;38123.99;38559.977;39491.57;40485.02;41247.15;41806.863;41896.426;40312.62;41209.426;42197;42476.344;43008.83;43800.64;43761.527;43702.08;44493.652;45087.887;45284.215;42493.63;44379.594
Central African Republic;1234;1219;1208;1105;1146;1148;1162;1079;1073;1070;1023;1006.9958;965.19336;933.0602;952.0174;978.55664;885.8864;917.48;936.2383;967.8432;963.94617;952.5118;928.77167;845.50555;853.182;858.5237;881.48517;897.47833;901.8513;898.7005;910.31036;909;916;567;561;576;592.92346;608.28564;619.18744;623.5598;613.78937;606.85913
Chad;583;521;524;577;601;642;662;663;692;685;692;703.28375;698.739;680.80054;713.8271;700.70764;694.10504;719.15314;753.8608;733.78125;716.04236;783.0552;831.82916;925.51263;1200.2726;1266.105;1225.5164;1422.3408;1422.2312;1533.1794;1720.3344;1661;1742.654;1776.092;1829.8347;1802.3212;1648.0383;1555.7141;1541.4716;1543.8029;1463.5312;1402.6732
Colombia;6786;6782;6698;6655;6741;6809;7071;7296;7442;7533;7693;7713.022;7888.1055;8180.8706;8447.857;8735.884;8770.583;8952.473;8863.262;8382.14;8496.792;8528.033;8630.542;8855.218;9211.279;9524.723;10039.684;10602.305;10846.737;10894.103;11191.687;11788;12129.81;12633.481;12981.565;13237.291;13367.445;13380.643;13485.702;13603.993;12377.135;13553.399
Cote d'Ivoire;3253;3242;3131;2901;2703;2735;2718;2579;2444;2343;2083;2036.2988;2011.5693;1983.2335;1951.5408;2035.1682;2179.0356;2288.8086;2393.499;2417.4575;2352.8564;2342.8276;2298.4565;2263.0925;2280.788;2312.8425;2343.927;2380.1155;2435.2705;2508.822;2555.0164;2444;2648.7744;2821.8762;2995.1501;3182.1077;3328.9795;3450.22;3497.8928;3703.0876;3682.1353;3853.1626
Cuba;4106;4420;4487;4705;5051;5120;5075;4887;4994;4991;4713;3982.2656;3399.9648;2657.466;2683.0984;2860.7573;3249.6353;3425.5618;3415.5452;3623.5955;4009.3398;4231.3237;4369.0405;4506.676;4561.0166;4713.7065;5416.141;5635.6885;6004.894;6248.304;6578.1904;6928;7138;7379;7628;7889;7928.05;8075.465;8262.988;8257.785;7364.1055;7485.821
Democratic Republic of Congo;953;950;920;909;932;909;923;918;894;861;813;737.9345;656.69165;563.71094;525.38873;531.9909;523.86804;489.64215;472.92395;452.00443;414.04694;403.6019;413.82523;436.02847;463.99698;490.6905;515.25836;546.0368;578.8487;595.01605;637.1298;681;714.7897;756.906;784.5593;806.7695;783.0341;785.1293;796.89246;806.479;794.2714;817.43225
Denmark;24272;24063;24807;25450;26581;27710;28681;28728;29049;29108;29412;29915.447;30573.574;30649.537;32359.297;33356.14;34325.44;35499.062;36361.23;37523.426;39021.176;39425.863;39709.37;39983.145;41178.562;42264.63;44025.484;44481.47;44246.4;42090.17;42932.4;43575;43509.613;43743.61;44215.633;44940.887;46018.984;47022.01;47717.457;48238.656;47171.086;49258.75
Ecuador;6582;6664;6558;6252;6336;6433;6452;5893;6357;6207;6221;6513.337;6715.474;6770.1787;6940.0903;6985.1553;6993.644;7181.101;7307.1694;6884.7925;6908.243;7131.194;7359.707;7468.5034;7958.921;8256.777;8521.56;8633.584;9103.872;9081.37;9327.213;9985;10398.948;10761.351;11016.161;10878.766;10603.806;10715.15;10716.904;10586.937;9646.065;9937.696
Egypt;3298;3309;3543;3701;3810;3939;3921;3929;4001;4030;4022;4180.133;4338.9536;4542.6323;4746.5884;5001.067;5293.1006;5594.597;5884.802;6211.0156;6593.5317;6914.937;7142.6865;7365.8027;7661.86;8021.8833;8509.614;9130.598;9698.017;10159.002;10719.291;10737;10774.53;10871.145;11135.728;11312.848;11458.447;11545.594;11895.312;12300.201;12234.504;12868.262
Finland;20640;20935;21495;21944;22486;23148;23621;24519;25644;27012;26884;25174.898;24219.76;23943.744;24797.66;25761.625;26637.266;28239.875;29715.342;30986.889;32689.77;33481.68;33986.555;34607.22;35888.613;36787.258;38160.703;39998.523;40129.652;36662.613;37615.113;38432;37715.01;37203.145;36907.92;36986.7;37924.152;39043.19;39430.906;39874.8;38871.703;39977.855
France;23537;23655;24120;24300;24519;24755;25238;25756;26763;27576;28129;28294.264;28619.805;28336.16;28907.977;29418.863;29736.645;30341.807;31323.078;32284.611;33409.68;33920.098;34152.773;34292.03;35093.824;35495.465;36166.16;36845.684;36761.793;35534.926;36086.727;36691;36625.926;36647.22;36818.54;37077.89;37343.84;38037.336;38555.465;39084.656;35913.82;38242.133
Germany;22497;22553;22380;22840;23564;24133;24657;25027;25759;26393;25391;26769.96;27385.055;27250.701;28140.057;28868.945;29349.982;30186.945;31129.584;32087.604;33367.285;34260.29;34590.93;34716.44;35528.715;36205.574;38014.137;39752.207;40715.434;38962.938;41109.582;43189;43288.32;43359.137;44132.758;44405.168;45030.47;46065.1;46377.39;46761.945;44996.43;46159.05
Greece;14300;14180;14153;14132;14453;14850;15047;14944;15596;16117;15964;16409.69;16545.963;16331.314;16724.287;17148.197;17719.557;18588.295;19378.709;20076.559;20965.332;21913.797;22893.959;24380.066;25780.385;26091.523;27731.111;28822.916;28907.926;27839.898;26517.465;24349;22746.207;22335.27;22591.598;22696.203;22679.81;22972.889;23403.611;23869.793;21767.22;23732.201
