Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;Estonia;;64.7;65.1;65.6;65.4;66.4;66.3;66.3;66.4;65.9;65.3;65.5
Austria;72.7;73;73.2;73.3;73.9;74.1;74.5;75;75.5;75.6;75.8;75.9;76.1;76.3;76.7;76.9;77.1;77.5;77.9;78.1;78.3;78.8;78.9;78.8;79.3;79.5;80.1;80.3;80.6;80.5;80.7;81.1;81.1;81.3;81.6;81.3;81.8;81.7;81.8;82;81.3;81.3;P   81.1;78.9;78.8;79.3;79.5;80.1;80.3;80.6;80.5;80.7;81.1;81.1;81.3;81.6;81.3;81.8;81.7;81.8;82;81.3;81.3;P   81.1
Canada;B   75.1;75.5;75.7;76.1;76.4;76.4;76.5;76.8;76.9;77.2;77.5;77.7;77.9;77.8;78;78.1;78.3;78.5;78.7;78.9;79.3;79.5;79.6;79.8;80.1;80.2;80.7;80.7;80.8;81.2;81.4;81.6;81.8;81.8;81.9;81.9;82;81.9;81.9;82.3;81.7;81.6;0;79.6;79.8;80.1;80.2;80.7;80.7;80.8;81.2;81.4;81.6;81.8;81.8;81.9;81.9;82;81.9;81.9;82.3;81.7;81.6;0
Chile;E   69.1;E   69.7;E   70;E   70.4;E   70.9;E   71.3;E   71.7;E   72.1;E   72.5;E   73;E   73.4;E   73.8;B   74.1;74.4;74.7;75;75.3;75.6;75.8;76.1;76.4;76.6;76.9;77.1;77.4;77.6;77.8;78.1;78.3;78.5;78.7;79;79.2;79.4;79.6;79.8;80;80.2;80.4;80.6;80.8;P   81;P   81.2;76.9;77.1;77.4;77.6;77.8;78.1;78.3;78.5;78.7;79;79.2;79.4;79.6;79.8;80;80.2;80.4;80.6;80.8;P   81;P   81.2
Colombia;64;64.5;65;65.5;65.9;66.4;66.6;66.8;66.9;67.1;67.2;67.4;67.5;67.6;68.1;68.6;69.1;69.6;70.1;70.5;71;71.4;71.8;72.2;72.6;73;73.3;73.5;73.8;74;74.3;74.5;74.7;75;75.2;75.4;75.7;75.9;76.5;76.6;76.7;76.8;76.9;71.8;72.2;72.6;73;73.3;73.5;73.8;74;74.3;74.5;74.7;75;75.2;75.4;75.7;75.9;76.5;76.6;76.7;76.8;76.9
Costa Rica;72.1;72.7;73.2;73.7;74.1;74.4;74.7;75;75.2;75.5;75.7;75.8;76;76.2;76.4;76.6;76.8;76.9;77.1;77.3;B   77.8;78.1;78.3;78.5;78.6;78.8;79;79.1;79.3;79.4;79.1;79.1;79.4;79.6;79.7;79.9;80;80.2;80.3;80.5;80.6;80.8;80.9;78.3;78.5;78.6;78.8;79;79.1;79.3;79.4;79.1;79.1;79.4;79.6;79.7;79.9;80;80.2;80.3;80.5;80.6;80.8;80.9
Czechia;70.4;70.8;70.9;70.7;70.9;71.2;71.1;71.6;71.8;71.8;71.5;72;72.4;72.9;73.2;73.3;74;74.1;74.7;74.9;75.1;75.3;75.4;75.3;75.9;76.1;76.7;77;77.3;77.4;77.7;78;78.1;78.3;78.9;78.7;79.1;79.1;79.1;79.3;78.3;77.2;P   79.1;75.4;75.3;75.9;76.1;76.7;77;77.3;77.4;77.7;78;78.1;78.3;78.9;78.7;79.1;79.1;79.1;79.3;78.3;77.2;P   79.1
Denmark;74.2;74.3;74.7;74.5;74.7;74.5;74.7;74.8;74.9;74.9;74.9;75.3;75.3;75.2;75.5;75.3;75.7;76.1;76.5;76.6;76.9;77;77.1;77.4;77.8;78.3;78.4;78.4;78.8;79;79.3;79.9;80.2;80.4;80.7;80.8;80.9;81.1;81;81.5;81.6;81.5;P   81.3;77.1;77.4;77.8;78.3;78.4;78.4;78.8;79;79.3;79.9;80.2;80.4;80.7;80.8;80.9;81.1;81;81.5;81.6;81.5;P   81.3
France;74.3;74.5;74.8;74.8;75.3;75.4;75.7;76.3;76.6;76.7;77;77.2;77.5;77.5;78;78.1;78.2;78.6;78.8;78.9;79.2;79.3;79.4;79.3;80.4;80.4;81;81.3;81.4;81.6;81.9;82.3;82.1;B   82.4;82.9;82.4;82.7;82.7;82.8;83;82.3;82.4;P   82.3;79.4;79.3;80.4;80.4;81;81.3;81.4;81.6;81.9;82.3;82.1;B   82.4;82.9;82.4;82.7;82.7;82.8;83;82.3;82.4;P   82.3
Germany;72.9;73.2;73.5;73.8;74.3;75.1;75.3;75.8;76;76.1;77.4;B   75.7;76.2;76.2;76.6;76.7;77;77.4;77.8;78;78.3;78.6;78.6;78.6;79.3;79.4;79.9;80.1;80.2;80.3;80.5;80.6;80.7;80.6;81.2;80.7;81;81.1;81;81.3;81.1;80.8;P   80.7;78.6;78.6;79.3;79.4;79.9;80.1;80.2;80.3;80.5;80.6;80.7;80.6;81.2;80.7;81;81.1;81;81.3;81.1;80.8;P   80.7
Greece;75.3;75.7;75.9;75.7;76.2;76;76.4;76.2;76.8;77;77.1;77.3;77.2;77.6;77.8;77.8;77.9;78.4;78.3;78.5;78.6;79.1;79.2;79.3;79.4;79.6;79.9;79.7;80.2;80.4;80.6;80.8;80.7;81.4;81.5;81.1;81.5;81.4;81.9;81.7;81.4;80.2;P   80.7;79.2;79.3;79.4;79.6;79.9;79.7;80.2;80.4;80.6;80.8;80.7;81.4;81.5;81.1;81.5;81.4;81.9;81.7;81.4;80.2;P   80.7
