Country;Continent;year;gdp;gdpPerCapita;lifeExpectancy;population;ChildMortality
Austria;Europe;1980;79.42199651;21932;72.7;7549433;1.6243601
Austria;Europe;1981;86.81157568;21866;73;7568710;1.5489244
Austria;Europe;1982;94.02890165;22254;73.2;7574140;1.4767412
Austria;Europe;1983;100.6168706;22944;73.3;7561910;1.4049772
Austria;Europe;1984;104.3002832;23016;73.9;7561434;1.332432
Austria;Europe;1985;110.2872696;23514;74.1;7564985;1.2596467
Austria;Europe;1986;115.0976056;24039;74.5;7569794;1.1870179
Austria;Europe;1987;119.5444459;24409;75;7574586;1.1149261
Austria;Europe;1988;127.8403059;25112;75.5;7585317;1.0490621
Austria;Europe;1989;138.0161495;26078;75.6;7619567;0.9948427
Austria;Europe;1990;149.4047502;26930;75.8;7677850;0.95114785
Austria;Europe;1991;159.7731061;27689.771;75.9;7754891;0.9080037
Austria;Europe;1992;166.8353105;28072.44;76.1;7840709;0.8561579
Austria;Europe;1993;171.6896084;28101.229;76.3;7905633;0.7973627
Austria;Europe;1994;179.5681691;28780.76;76.7;7936118;0.7370056
Austria;Europe;1995;188.2248427;29621.682;76.9;7948278;0.6803936
Austria;Europe;1996;195.4099618;30413.156;77.1;7959017;0.6333122
Austria;Europe;1997;202.5637197;31173.049;77.5;7968041;0.59870297
Austria;Europe;1998;212.7795977;32376.33;77.9;7976789;0.57545036
Austria;Europe;1999;220.639939;33608.297;78.1;7992324;0.56027156
Austria;Europe;2000;235.3776993;34796.258;78.3;8011566;0.55058205
Austria;Europe;2001;238.9491415;35272.223;78.8;8042293;0.5424003
Austria;Europe;2002;251.9847843;35823.586;78.9;8081957;0.53305376
Austria;Europe;2003;261.0715067;36063.12;78.8;8121423;0.5209855
Austria;Europe;2004;276.0063218;36957.113;79.3;8171966;0.5060434
Austria;Europe;2005;288.0867221;37642.76;79.5;8227829;0.48975593
Austria;Europe;2006;311.4129861;38866.848;80.1;8268641;0.47459167
Austria;Europe;2007;327.1705948;40305.273;80.3;8295487;0.4633418
Austria;Europe;2008;343.8129764;40964.793;80.6;8321496;0.45437607
Austria;Europe;2009;341.3829817;39463.656;80.5;8343323;0.44506472
Austria;Europe;2010;351.2809977;40288.348;80.7;8363404;0.4336335
Austria;Europe;2011;373.031477;41446;81.1;8391643;0.41993752
Austria;Europe;2012;391.6351762;41540.94;81.1;8429991;0.40465626
Austria;Europe;2013;406.3702445;41301.94;81.3;8479823;0.3897079
Austria;Europe;2014;417.0595187;41250.508;81.6;8546356;0.3767292
Austria;Europe;2015;430.9759237;41255.715;81.3;8642699;0.36707452
Austria;Europe;2016;460.2826473;41545.5;81.8;8736668;0.36055413
Austria;Europe;2017;476.5905878;42216.918;81.7;8797566;0.35705516
Austria;Europe;2018;503.361417;43032.215;81.8;8840521;0.3562081
Austria;Europe;2019;537.8977983;43488.668;82;8879920;0.35827774
Austria;Europe;2020;522.6245944;40503.04;81.3;8916864;0.36229816
Austria;Europe;2021;567.9872839;42184.695;81.3;8955797;0.36575946
Australia;Oceania;1980;149.9855153;10208.652;74.33365854;14706322;1.3027526
Australia;Oceania;1981;176.8930686;11853.5138;74.66341463;14930052;1.2548599
Australia;Oceania;1982;194.0383979;12778.9279;74.90487805;15168445;1.2172526
Australia;Oceania;1983;177.265419;11515.6229;75.14634146;15383076;1.1863708
Australia;Oceania;1984;193.5189982;12421.4739;75.38780488;15579476;1.1581905
Australia;Oceania;1985;180.6371295;11441.1933;75.62926829;15785682;1.1289451
Australia;Oceania;1986;182.4755176;11391.655;75.87073171;16012299;1.0967417
Australia;Oceania;1987;189.4871625;11650.8012;76.15170732;16259249;1.0603379
Australia;Oceania;1988;236.1540387;14284.5207;76.43268293;16525903;1.0185386
Australia;Oceania;1989;299.8718354;17834.2106;76.71365854;16796588;0.97086143
Australia;Oceania;1990;311.4205091;18248.9407;76.99463415;17048003;0.9188839
Australia;Oceania;1991;325.9666861;18859.408;77.27560976;17271086;0.86587477
Australia;Oceania;1992;325.5184581;18623.7917;77.37804878;17462504;0.8152276
Australia;Oceania;1993;312.1283024;17699.5577;77.87804878;17631511;0.76964647
Australia;Oceania;1994;322.8024905;18129.4022;77.87804878;17805504;0.73121756
Australia;Oceania;1995;368.1660232;20448.122;77.82926829;18002999;0.700948
Australia;Oceania;1996;401.3418806;22021.7839;78.07804878;18211845;0.67736834
Australia;Oceania;1997;435.6426113;23646.623;78.4804878;18410250;0.6592623
Australia;Oceania;1998;399.6744218;21479.1142;78.63170732;18601667;0.6446664
Australia;Oceania;1999;389.6522121;20712.6698;78.93170732;18800892;0.6314727
Australia;Oceania;2000;416.1678151;21870.416;79.23414634;19017963;0.6187257
Australia;Oceania;2001;379.6293017;19695.7297;79.63414634;19248143;0.6075909
Australia;Oceania;2002;395.788696;20301.8432;79.93658537;19475844;0.59861094
Australia;Oceania;2003;467.7390798;23718.1339;80.23902439;19698999;0.59091836
Australia;Oceania;2004;614.6599801;30836.7307;80.4902439;19925056;0.5825695
Australia;Oceania;2005;695.6928987;34479.7679;80.84146341;20171731;0.5720415
Australia;Oceania;2006;748.4175628;36595.7072;81.04146341;20467030;0.5584972
Australia;Oceania;2007;855.0074586;41051.6121;81.29268293;20830828;0.5417077
Australia;Oceania;2008;1056.112427;49701.2818;81.39512195;21247873;0.5218318
Australia;Oceania;2009;928.7621227;42816.5674;81.54390244;21660892;0.4998227
Australia;Oceania;2010;1148.8902;52147.0242;81.69512195;22019168;0.47664326
Australia;Oceania;2011;1398.701323;62609.6607;81.89512195;22357034;0.45357853
Australia;Oceania;2012;1547.649836;68078.0442;82.04634146;22729269;0.43171844
Australia;Oceania;2013;1577.30184;68198.4193;82.14878049;23111782;0.412573
Australia;Oceania;2014;1468.59769;62558.2439;82.3;23469579;0.39757013
Australia;Oceania;2015;1351.768945;56758.8692;82.4;23820236;0.3872333
Australia;Oceania;2016;1207.580902;49918.7939;82.44878049;24195701;0.3808726
Australia;Oceania;2017;1326.882105;53954.5535;82.5;24590334;0.3776751
Australia;Oceania;2018;1429.733668;57273.5205;82.74878049;24979230;0.37629104
Australia;Oceania;2019;1394.671326;55049.5719;82.9;25357170;0.37543574
Australia;Oceania;2020;1330.381545;51868.2476;83.2;25670051;0.37396815
Australia;Oceania;2021;1559.033756;60697.2454;83.3;25921089;0.37119225
Bangladesh;Asia;1980;35.654197;875;51.8;83929765;20.525251
Bangladesh;Asia;1981;38.233403;878;52.2;86154836;20.025127
Bangladesh;Asia;1982;39.04943;869;52.5;88555336;19.496567
Bangladesh;Asia;1983;40.564957;891;53;91045478;18.942905
Bangladesh;Asia;1984;42.513416;918;53.5;93534239;18.360348
Bangladesh;Asia;1985;43.93422;925;53.9;95959099;17.750624
Bangladesh;Asia;1986;45.767766;944;54.4;98271746;17.128742
Bangladesh;Asia;1987;47.494308;960;54.9;100490256;16.493488
Bangladesh;Asia;1988;48.641892;964;55;102688833;15.854996
Bangladesh;Asia;1989;50.02166;966;55.1;104893674;15.224444
Bangladesh;Asia;1990;52.83401;1006;56;107147651;14.596598
Bangladesh;Asia;1991;54.675395;1031.4299;54.2;109242834;13.970476
Bangladesh;Asia;1992;57.651204;1062.4604;57.6;111272102;13.342691
Bangladesh;Asia;1993;60.367475;1095.6564;57.9;113418757;12.713806
Bangladesh;Asia;1994;62.715847;1136.4185;58.6;115614891;12.089933
Bangladesh;Asia;1995;65.927696;1182.9514;59.5;117793338;11.472749
Bangladesh;Asia;1996;68.909556;1234.0841;59.5;119876868;10.864098
Bangladesh;Asia;1997;72.00353;1291.5126;61.4;122039226;10.266974
Bangladesh;Asia;1998;75.731165;1348.1499;63.9;124350471;9.689005
Bangladesh;Asia;1999;79.26793;1412.9813;66.2;126754824;9.132055
Bangladesh;Asia;2000;83.463815;1485.3092;65.8;129193327;8.606645
Bangladesh;Asia;2001;87.70151;1551.1965;66.1;131670484;8.113846
Bangladesh;Asia;2002;91.06322;1621.267;66.6;134139826;7.655481
Bangladesh;Asia;2003;95.37922;1710.7313;66.8;136503206;7.2276664
Bangladesh;Asia;2004;100.37665;1812.6246;67.2;138789725;6.8291693
Bangladesh;Asia;2005;106.93721;1925.6062;67.3;140912590;6.453747
Bangladesh;Asia;2006;114.07196;2057.6985;67.2;142628831;6.1034746
Bangladesh;Asia;2007;122.12384;2194.4224;66.7;144135934;5.7738504
Bangladesh;Asia;2008;129.46811;2321.0505;67.1;145421318;5.4675436
Bangladesh;Asia;2009;135.99994;2448.887;67.4;146706810;5.1812053
Bangladesh;Asia;2010;143.57756;2599.2083;68.6;148391139;4.915377
Bangladesh;Asia;2011;152.85897;2772;68.8;150211005;4.6679926
Bangladesh;Asia;2012;162.8276;2914.0488;69.6;152090649;4.4352074
Bangladesh;Asia;2013;172.61942;3057.4697;69.6;154030139;4.2143087
Bangladesh;Asia;2014;183.08198;3216.8923;70;155961299;4.0021515
Bangladesh;Asia;2015;195.07868;3402.3213;70.5;157830000;3.7971585
Bangladesh;Asia;2016;208.95556;3598.5103;71.1;159784568;3.599151
Bangladesh;Asia;2017;222.72626;3808.8728;71.8;161793964;3.407044
Bangladesh;Asia;2018;239.0285;4056.6465;72.6;163683958;3.2196548
Bangladesh;Asia;2019;257.86853;4242.7515;72.8;165516222;3.042254
Bangladesh;Asia;2020;266.7599;4418.9644;72;167420951;2.8767538
Bangladesh;Asia;2021;285.2695;4684.003;72.4;169356251;2.727363
Bolivia;South America;1980;11.833372;4100;51.2;5736088;16.865168
Bolivia;South America;1981;11.865987;4060;51.6;5862990;16.397335
Bolivia;South America;1982;11.398616;3816;52.1;5991118;15.950144
Bolivia;South America;1983;10.93787;3585;52.4;6120620;15.508211
