Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Australia;14692000;14923260;15184247;15393472;15579391;15788312;16018350;16263874;16532164;16814416;17065128;17284036;17478635;17634808;17805468;18004882;18224767;18423037;18607584;18812264;19028802;19274701;19495210;19720737;19932722;20176844;20450966;20827622;21249199;21691653;22031750;22340024;22733465;23128129;23475686;23815995;24190907;24592588;24963258;25334826;25649248;25685412
Austria;7549433;7568710;7574140;7561910;7561434;7564985;7569794;7574586;7585317;7619567;7677850;7754891;7840709;7905633;7936118;7948278;7959017;7968041;7976789;7992324;8011566;8042293;8081957;8121423;8171966;8227829;8268641;8295487;8321496;8343323;8363404;8391643;8429991;8479823;8546356;8642699;8736668;8797566;8840521;8879920;8916864;8955797
Bangladesh;83929765;86154836;88555336;91045478;93534239;95959099;98271746;100490256;102688833;104893674;107147651;109242834;111272102;113418757;115614891;117793338;119876868;122039226;124350471;126754824;129193327;131670484;134139826;136503206;138789725;140912590;142628831;144135934;145421318;146706810;148391139;150211005;152090649;154030139;155961299;157830000;159784568;161793964;163683958;165516222;167420951;169356251
Belgium;9859242;9858982;9856303;9855520;9855372;9858308;9861823;9870234;9901664;9937697;9967379;10004486;10045158;10084475;10115603;10136811;10156637;10181245;10203008;10226419;10251250;10286570;10332785;10376133;10421137;10478617;10547958;10625700;10709973;10796493;10895586;11038264;11106932;11159407;11209057;11274196;11331422;11375158;11427054;11488980;11538604;11586195
Bolivia;5736088;5862990;5991118;6120620;6251926;6385630;6521983;6661434;6804072;6949139;7096194;7244891;7394419;7544489;7693722;7841471;7989367;8137619;8286928;8439052;8592656;8746084;8900583;9057378;9216279;9377388;9542663;9711152;9880593;10051317;10223270;10396246;10569697;10743349;10916987;11090085;11263015;11435533;11606905;11777315;11936162;12079472
Botswana;938578;982747;1023009;1060717;1099170;1138704;1179263;1220361;1261272;1301671;1341474;1380584;1420695;1462262;1503544;1543634;1582169;1619354;1655699;1691558;1726985;1761930;1795130;1826863;1859085;1892807;1928704;1966977;2007320;2048997;2091664;2134037;2175425;2217278;2260376;2305171;2352416;2401840;2451409;2499702;2546402;2588423
Brazil;122288383;125168060;128065095;130977370;133888775;136783180;139643355;142466264;145253973;148003411;150706446;153336445;155900790;158440875;160980472;163515328;166037122;168546707;171039804;173486281;175873720;178211881;180476685;182629278;184722043;186797334;188820682;190779453;192672317;194517549;196353492;198185302;199977707;201721767;203459650;205188205;206859578;208504960;210166592;211782878;213196304;214326223
Cameroon;8519891;8829048;9046986;9240672;9508570;9804254;10112712;10433905;10759573;11089222;11430520;11777719;12128604;12486773;12848862;13211647;13575324;13941181;14314599;14698973;15091594;15493253;15914033;16354326;16809407;17275171;17751333;18251866;18777081;19319274;19878036;20448873;21032684;21632850;22299585;23012646;23711630;24393181;25076747;25782341;26491087;27198628
Canada;24515667;24819915;25116942;25366451;25607053;25842116;26100278;26446601;26791747;27276781;27691138;28037420;28371264;28684764;29000663;29302311;29610218;29905948;30155173;30401286;30685730;31020902;31360079;31644028;31940655;32243753;32571174;32889025;33247118;33628895;34004889;34339328;34714222;35082954;35437435;35702908;36109487;36545236;37065084;37601230;38007166;38226498
Central African Republic;2415276;2441010;2467635;2495097;2523538;2553075;2583631;2615594;2657235;2724109;2809221;2898052;2991727;3089146;3187844;3276706;3363570;3458472;3555064;3655360;3759170;3844773;3930648;4026841;4115138;4208834;4294352;4375569;4467233;4564540;4660067;4732022;4773306;4802428;4798734;4819333;4904177;4996741;5094780;5209324;5343020;5457154
Chad;4408230;4409225;4622828;4859173;4920556;4967590;5118160;5300852;5483038;5670619;5827069;6042428;6302926;6448280;6592998;6888856;7200291;7450874;7709115;7981889;8259137;8538804;8838369;9196366;9613503;10005012;10365614;10722731;11098664;11496128;11894727;12317730;12754906;13216766;13697126;14140274;14592585;15085884;15604210;16126866;16644701;17179740
China;981235000;993885000;1008630000;1023310000;1036825000;1051040000;1066790000;1084035000;1101630000;1118650000;1135185000;1150780000;1164970000;1178440000;1191835000;1204855000;1217550000;1230075000;1241935000;1252735000;1262645000;1271850000;1280400000;1288400000;1296075000;1303720000;1311020000;1317885000;1324655000;1331260000;1337705000;1345035000;1354190000;1363240000;1371860000;1379860000;1387790000;1396215000;1402760000;1407745000;1411100000;1412360000
Colombia;26176195;26785982;27405194;28042329;28689032;29326260;29960101;30603048;31256727;31923117;32601393;33272628;33939039;34614735;35295461;35970101;36632573;37291946;37944414;38585033;39215135;39837875;40454050;41057687;41648268;42220940;42772910;43306582;43815313;44313917;44816108;45308899;45782417;46237930;46677947;47119728;47625955;48351671;49276961;50187406;50930662;51516562
Cote d'Ivoire;8303810;8621621;8948119;9282050;9621405;9964075;10309440;10663498;11043193;11462943;11910540;12369269;12838314;13316448;13802285;14299727;14810946;15335453;15858990;16345894;16799670;17245468;17683897;18116451;18544903;18970215;19394057;19817700;20244449;20677762;21120042;21562914;22010712;22469268;22995555;23596741;24213622;24848016;25493988;26147551;26811790;27478249
Cuba;9809107;9848560;9908874;9984591;10065539;10149044;10235480;10326910;10425433;10527187;10626680;10713812;10783748;10840934;10887207;10926703;10963031;10998129;11033758;11070094;11105791;11139127;11170051;11199217;11225294;11246114;11260630;11269887;11276609;11283185;11290417;11298710;11309290;11321579;11332026;11339894;11342012;11336405;11328244;11316697;11300698;11256372
Democratic Republic of Congo;26708686;27457783;28219219;29005175;29879852;30800051;31725132;32712574;33750052;34825891;35987541;37194812;38332302;39580844;41511985;43285791;44118709;44822198;45895524;47227238;48616317;50106657;51662071;53205639;54815607;56550247;58381630;60289422;62249724;64270232;66391257;68654269;70997870;73460021;76035588;78656904;81430977;84283273;87087355;89906890;92853164;95894118
Denmark;5123027;5121572;5117810;5114297;5111619;5113691;5120534;5127024;5129516;5132594;5140939;5154298;5171370;5188628;5206180;5233373;5263074;5284991;5304219;5321799;5339616;5358783;5375931;5390574;5404523;5419432;5437272;5461438;5493621;5523095;5547683;5570572;5591572;5614932;5643475;5683483;5728010;5764980;5793636;5814422;5831404;5856733
Ecuador;8135845;8352602;8572607;8795873;9022979;9254311;9490096;9729376;9969788;10210185;10449837;10686279;10914222;11132829;11347652;11561683;11775221;11987838;12199693;12412046;12626507;12845521;13070609;13301184;13534593;13770012;14009061;14251835;14496797;14742766;14989585;15237728;15483883;15722989;15957994;16195902;16439585;16696944;17015672;17343740;17588595;17797737
Egypt;43748556;44899573;46088647;47353665;48676443;50035843;51424313;52841319;54298446;55765843;57214630;58611032;59989142;61382200;62775847;64166908;65565195;66993728;68446011;69907887;71371371;72854261;74393759;75963322;77522427;79075310;80629670;82218755;83844783;85501064;87252413;89200054;91240376;93377890;95592324;97723799;99784030;101789386;103740765;105618671;107465134;109262178
Finland;4779535;4799964;4826933;4855787;4881803;4902206;4918154;4932123;4946481;4964371;4986431;5013740;5041992;5066447;5088333;5107790;5124573;5139835;5153498;5165474;5176209;5188008;5200598;5213014;5228172;5246096;5266268;5288720;5313399;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5515525;5521606;5529543;5541017
France;55052582;55371044;55694106;55992656;56275701;56569195;56865193;57168409;57472651;57766282;58044701;58557577;58849943;59106166;59327585;59543659;59756533;59969944;60192790;60504420;60921384;61367388;61816234;62256970;62716306;63188395;63628261;64021737;64379696;64710879;65030575;65345233;65662240;66002289;66312067;66548272;66724104;66918020;67158348;67388001;67571107;67764304
Germany;78288576;78407907;78333366;78128282;77858685;77684873;77720436;77839920;78144619;78751283;79433029;80013896;80624598;81156363;81438348;81678051;81914831;82034771;82047195;82100243;82211508;82349925;82488495;82534176;82516260;82469422;82376451;82266372;82110097;81902307;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82905782;83092962;83160871;83196078
