Continent;year;gdp;gdpPerCapita;lifeExpectancy;population;
Africa;1980;25.39684102;1865.307692;50.8;209555498;
Africa;1981;24.59534438;1879;51.46153846;215935741;
Africa;1982;24.55404891;1908.076923;51.91538462;222377497;
Africa;1983;23.84658114;1905.076923;52.31538462;228719166;
Africa;1984;24.543307;1894.153846;52.65384615;235147459;
Africa;1985;25.89297844;1947.846154;52.96153846;241966627;
Africa;1986;26.6805137;1975.923077;53.19230769;248944036;
Africa;1987;27.46466786;1943.846154;53.21538462;256111867;
Africa;1988;28.82088629;1967.076923;53.50769231;263484222;
Africa;1989;29.66012545;2031.384615;53.46153846;271056439;
Africa;1990;31.29612485;2010.076923;53.14615385;278812403;
Africa;1991;31.40212747;2024.976704;52.92307692;286619245;
Africa;1992;31.98272882;2000.715816;52.48461538;294425273;
Africa;1993;31.6583998;1981.957768;52.09230769;302335967;
Africa;1994;31.92383604;1982.984733;49.58461538;309533283;
Africa;1995;32.77116495;2076.494237;51.3;316973939;
Africa;1996;34.29982742;2151.922029;51.03846154;325657133;
Africa;1997;35.60417958;2234.759384;50.99230769;334216678;
Africa;1998;36.95036602;2291.686478;50.86153846;342607912;
Africa;1999;37.97885925;2383.494355;51.03846154;351291091;
Africa;2000;39.43683465;2421.288452;51.39230769;360215887;
Africa;2001;41.01389063;2487.975392;51.55384615;369454937;
Africa;2002;43.62959025;2564.304451;52.15384615;379071316;
Africa;2003;45.40165204;2624.291073;52.6;388997220;
Africa;2004;48.25989528;2722.780783;53.23846154;399232174;
Africa;2005;50.7309598;2824.553954;53.83076923;409716988;
Africa;2006;53.68055061;2960.84801;54.48461538;420487861;
Africa;2007;56.96043775;3137.286972;55.07692308;431592358;
Africa;2008;60.18666712;3260.396808;55.70769231;443015044;
Africa;2009;63.58033201;3281.280335;56.37692308;454789410;
Africa;2010;68.01550746;3497.377589;57.1;466967058;
Africa;2011;70.56815768;3595.153846;57.77692308;479667119;
Africa;2012;73.38043066;3639.059515;58.31538462;492639202;
Africa;2013;77.02302169;3751.722592;58.86923077;505951363;
Africa;2014;81.10095662;3875.773538;59.3;519636493;
Africa;2015;84.15502767;3860.231338;59.89230769;533369125;
Africa;2016;85.53334706;3933.125151;60.43846154;547386103;
Africa;2017;87.91972105;3987.517111;60.85384615;561692953;
Africa;2018;91.36753808;4078.033392;61.10769231;575983380;
Africa;2019;94.81873433;4155.583162;61.39230769;590305128;
Africa;2020;95.08494366;3962.349744;61.04615385;604944671;
Africa;2021;99.16064367;4178.352114;60.1;619702542;
